Year,av_annual_t,av_5_annual_t,Annual_lower_anomaly,Annual_upper_anomaly
1750,NaN,NaN,NaN,NaN
1751,0.1722916666666667,NaN,-0.9009166666666665,1.2454999999999998
1752,NaN,NaN,NaN,NaN
1753,NaN,NaN,NaN,NaN
1754,0.7565,NaN,-0.13841666666666666,1.6514166666666663
1755,0.6489166666666667,NaN,0.08533333333333333,1.2125
1756,0.42866666666666675,0.23775,-0.08033333333333331,0.9376666666666665
1757,0.4296666666666667,0.09775,-0.1565,1.0158333333333331
1758,-0.12516666666666668,-0.035208333333333335,-1.47875,1.2284166666666667
1759,0.06920833333333334,0.0017083333333333488,-1.1853333333333331,1.3237499999999998
1760,0.029333333333333312,-0.03266666666666668,-1.6602499999999996,1.7189166666666669
1761,0.5618333333333334,0.054875000000000014,0.07958333333333333,1.0440833333333333
1762,0.12575000000000003,0.06029166666666669,-0.9471666666666666,1.1986666666666668
1763,0.17879166666666668,-0.024374999999999997,-1.1276666666666666,1.48525
1764,0.13179166666666667,-0.15345833333333334,-0.8810833333333331,1.1446666666666667
1765,0.17074999999999999,-0.169875,-0.9455833333333334,1.2870833333333334
1766,0.23570833333333338,-0.17008333333333336,-1.0254999999999999,1.4969166666666667
1767,-0.05233333333333332,-0.17470833333333335,-1.3261666666666667,1.2215
1768,-0.29120833333333335,-0.2427916666666667,-1.8267499999999999,1.2443333333333333
1769,-0.08395833333333332,-0.28095833333333337,-1.3254166666666667,1.1575
1770,-0.206,-0.21637499999999998,-1.847666666666667,1.4356666666666664
1771,0.040958333333333326,-0.08812500000000001,-1.4049166666666668,1.4868333333333332
1772,0.17725000000000002,0.00437499999999999,-1.0922500000000002,1.44675
1773,0.3757916666666667,0.102875,-0.4573333333333333,1.2089166666666664
1774,0.5261249999999998,0.11783333333333333,-0.15733333333333333,1.2095833333333335
1775,0.23233333333333328,0.041249999999999974,-1.0114166666666666,1.4760833333333332
1776,0.08083333333333333,-0.06404166666666665,-1.1817500000000003,1.3434166666666665
1777,-0.07675,-0.08187500000000003,-1.4410833333333335,1.2875833333333333
1778,-0.002625000000000016,-0.056999999999999995,-1.2854999999999999,1.2802499999999999
1779,0.21208333333333332,-0.12820833333333334,-0.8242499999999998,1.2484166666666665
1780,0.6930416666666668,-0.10970833333333335,-0.23099999999999998,1.6170833333333337
1781,0.22808333333333333,-0.023791666666666673,-0.8230833333333334,1.27925
1782,0.29891666666666666,-0.015416666666666681,-0.6224166666666667,1.22025
1783,0.2180416666666667,-0.008249999999999988,-0.9155000000000001,1.3515833333333334
1784,0.3288333333333333,0.14708333333333332,-1.0061666666666669,1.663833333333333
1785,0.2297916666666667,0.15233333333333335,-0.9569166666666665,1.4165
1786,0.3845,0.1824583333333333,-0.5208333333333331,1.2898333333333334
1787,0.2680416666666667,0.13833333333333334,-0.7839166666666668,1.3199999999999998
1788,0.29812500000000003,0.10520833333333333,-0.3543333333333334,0.9505833333333332
1789,0.18137499999999998,0.07112499999999998,-0.3997499999999999,0.7625000000000001
1790,0.14691666666666664,0.07791666666666668,-0.46425,0.7580833333333333
1791,0.23191666666666666,0.12095833333333335,-0.399,0.8628333333333331
1792,0.26004166666666667,0.17700000000000002,-0.28358333333333335,0.8036666666666666
1793,0.5097499999999999,0.23541666666666664,-0.14808333333333337,1.1675833333333334
1794,0.4983333333333333,0.24679166666666666,0.033666666666666664,0.9630000000000001
1795,0.44025,0.29537499999999994,0.07691666666666667,0.8035833333333332
1796,0.391875,0.23687499999999997,-0.016000000000000004,0.7997500000000001
1797,0.4635416666666667,0.14862499999999998,-0.14241666666666666,1.0695
1798,0.26366666666666666,0.10266666666666668,-0.17375,0.7010833333333334
1799,0.13445833333333335,0.11354166666666665,-0.44475,0.7136666666666667
1800,0.14870833333333333,0.10379166666666666,-0.2234166666666667,0.5208333333333334
1801,0.45208333333333334,0.12595833333333337,0.2945833333333333,0.6095833333333335
1802,0.33508333333333334,0.2140416666666667,0.017416666666666664,0.65275
1803,0.285625,0.23616666666666672,-0.03791666666666666,0.6091666666666666
1804,0.36508333333333337,0.17979166666666668,0.10133333333333334,0.6288333333333332
1805,0.2838333333333333,0.14025,-0.05666666666666667,0.6243333333333333
1806,0.22658333333333336,0.1155,-0.3073333333333333,0.7605000000000001
1807,0.17466666666666666,0.021083333333333325,-0.5274166666666668,0.87675
1808,0.23679166666666673,-0.10133333333333332,-0.9525833333333331,1.4261666666666668
1809,-0.16558333333333328,-0.22383333333333333,-1.4023333333333332,1.0711666666666666
1810,-0.309,-0.331875,-1.6793333333333338,1.0613333333333335
1811,-0.3815,-0.38666666666666666,-1.6797500000000003,0.91675
1812,-0.2692083333333333,-0.36387499999999995,-1.4293333333333331,0.8909166666666669
1813,-0.09654166666666668,-0.3524583333333333,-0.9420000000000001,0.7489166666666666
1814,-0.07483333333333332,-0.38854166666666673,-1.048583333333333,0.8989166666666666
1815,-0.13845833333333335,-0.3981666666666666,-1.1869166666666666,0.91
1816,-0.36333333333333334,-0.3466666666666667,-1.5746666666666664,0.848
1817,-0.28929166666666667,-0.3617083333333333,-1.4219999999999997,0.8434166666666667
1818,0.08908333333333335,-0.3485416666666667,-0.7588333333333334,0.9369999999999999
1819,-0.2652916666666667,-0.2709166666666667,-1.14925,0.6186666666666667
1820,-0.1125,-0.22870833333333337,-0.7535833333333333,0.5285833333333333
1821,-0.06708333333333334,-0.277375,-0.7010833333333334,0.5669166666666666
1822,-0.038833333333333345,-0.1799166666666667,-0.7123333333333334,0.6346666666666666
1823,-0.15291666666666667,-0.13770833333333338,-0.8552500000000002,0.5494166666666668
1824,0.07283333333333335,-0.100125,-0.37941666666666674,0.5250833333333332
1825,-0.013500000000000012,-0.046458333333333324,-0.51075,0.48374999999999996
1826,0.12612500000000001,-0.02629166666666666,-0.22366666666666665,0.47591666666666677
1827,0.2315,-0.06679166666666667,-0.06716666666666665,0.5301666666666666
1828,-0.022124999999999995,-0.05970833333333334,-0.53125,0.4870000000000001
1829,-0.08808333333333333,-0.10720833333333334,-0.6364166666666667,0.46025
1830,0.1575,-0.1865416666666667,-0.33441666666666664,0.6494166666666666
